filename;num_live_knots;max_width_live_knots;num_dead_knots;max_dia_dead_knots;max_width_dead_knots;max_width_knot_collection;num_resin;num_resin_bigger_20;num_resin_bigger_80;overgrown_bool;overgrown_area;marrow_bool;blue_stain_area;rot_bool;rot_area;crack_max_dia
2024_10_03-6.31.2.bmp;2;0.36;1;5.34;0.05;0.53;1;1;0;;;;;;;
2024_10_03-1.30.1.bmp;6;0.17;;;;0.54;1;0;0;;;;;;;
2024_10_04-U3.9.1.bmp;1;0.29;;;;0.29;;;;;;;;;;
2024_10_03-18.33.1.bmp;1;0.28;;;;;;;;;;;;;;
2024_10_04-B7.10.2.bmp;;;;;;;;;;;;;0.29;;;
2024_10_04-F3.20.1.bmp;1;0.45;;;;;1;0;0;;;;0.04;1;479.96;
2024_08_27-I6.20.2.bmp;2;0.53;1;8.15;0.07;0.95;;;;;;;0;;;
2024_10_03-10.20.2.bmp;;;;;;;;;;;;;0;;;
2024_10_03-7.26.2.bmp;2;0.44;2;17.78;0.14;0.9;;;;1;118.55;;;1;5300.27;
2024_10_04-F4.1.1.bmp;;;;;;;;;;;;;;1;8070.96;
2024_11_15-N2.39.1.bmp;;;;;;;;;;;;;;;;
2024_10_03-1.3.2.bmp;1;0.4;;;;0.4;;;;;;;;;;
2024_10_03-16.26.2.bmp;5;0.14;;;;0.51;;;;;;;;;;
2024_10_04-B8.18.1.bmp;;;;;;;;;;;;;0.04;;;
2024_10_04-B6.4.1.bmp;1;0.16;;;;;1;1;0;;;;0.07;;;
2024_10_04-B2.19.2.bmp;;;;;;;2;0;0;;;;0.01;;;
2024_11_15-I19.40.2.bmp;;;;;;;1;1;0;;;;0;;;
2024_10_04-13.3.1.bmp;5;0.2;;;;0.71;;;;;;;;;;
2024_08_27-S5.6.2.bmp;1;0.11;1;6.93;0.06;0.17;;;;;;;;;;
2024_10_04-B4.27.2.bmp;4;0.2;;;;0.43;;;;;;;;;;
2024_10_03-18.31.1.bmp;4;0.19;2;9.18;0.07;0.51;;;;;;;0;;;
2024_08_29-IB1.13.2.bmp;1;0.18;1;24.5;0.2;0.39;;;;;;;;;;
2024_08_27-S3.12.2.bmp;;;;;;;;;;;;;;;;
2024_10_03-19.22.1.bmp;2;0.21;;;;0.32;;;;;;;;1;9.37;
2024_08_27-I7.10.1.bmp;3;0.26;;;;0.76;;;;;;;0;;;
2024_10_04-B9.7.1.bmp;;;;;;;;;;;;;0.91;;;
2024_10_04-11.8.1.bmp;3;0.25;1;6.1;0.05;0.45;;;;;;;0;;;
2024_08_27-I7.9.2.bmp;;;;;;;;;;1;377.17;;0;;;
2024_10_03-10.5.2.bmp;;;;;;;;;;;;;;1;54.41;
2024_10_03-5.14.2.bmp;2;0.22;;;;0.41;;;;;;;;1;1496.94;
2024_10_04-B1.5.1.bmp;;;2;16.51;0.15;0.28;;;;;;;0.06;;;
2024_08_27-S8.7.2.bmp;2;0.25;;;;0.31;1;1;0;;;;;1;132.19;
2024_10_03-3.14.1.bmp;;;;;;;1;1;0;;;;;;;
2024_10_04-F1.33.1.bmp;2;0.22;1;27.61;0.22;0.61;3;0;0;;;;0.74;1;7697.59;
2024_10_04-F2.4.2.bmp;3;0.14;1;6.8;0.06;0.39;;;;;;;0;;;
2024_10_03-15.38.1.bmp;;;2;16.56;0.12;0.25;;;;1;46.73;;;;;
2024_08_29-IB1.10.2.bmp;1;0.16;1;20.72;0.19;0.35;;;;;;;0.27;1;350.24;
2024_10_03-8.23.1.bmp;2;0.12;;;;0.17;;;;;;;;;;
2024_10_03-10.6.1.bmp;1;0.39;;;;0.39;2;0;0;;;;0;;;
2024_10_04-B1.31.1.bmp;;;;;;;;;;;;;0.8;;;
2024_10_03-18.21.2.bmp;1;0.19;;;;0.19;;;;;;;;;;
2024_10_04-11.7.2.bmp;;;3;14.5;0.1;0.25;;;;1;21.42;;;;;
2024_11_15-I18.19.2.bmp;2;0.25;2;7.32;0.06;0.53;;;;;;;0;;;
2024_10_03-7.5.1.bmp;;;1;8.99;0.08;0.08;;;;;;;0;;;
2024_10_03-6.29.1.bmp;4;0.12;;;;0.32;;;;;;;0;;;
2024_08_29-A3.9.1.bmp;2;0.46;3;19.18;0.16;1.1;;;;1;2517.46;;0.13;1;34.09;
2024_08_27-I7.18.2.bmp;3;0.33;;;;0.71;;;;;;;;;;
2024_08_27-I3.1.1.bmp;1;0.22;;;;;;;;;;;0;1;161.73;
2024_08_29-A2.3.2.bmp;3;0.38;;;;0.5;1;0;0;1;315.18;1;;1;2446.28;
2024_08_29-I14.20.1.bmp;3;0.21;;;;0.49;;;;;;;0;;;
2024_11_15-I21.7.2.bmp;;;;;;;;;;;;;0;;;
2024_10_04-B2.39.2.bmp;;;;;;;;;;;;;0;;;
2024_11_15-I17.3.1.bmp;;;;;;;;;;;;;0.02;;;
2024_10_03-19.32.1.bmp;;;;;;;;;;;;;0.01;;;
2024_08_29-I12.18.2.bmp;2;0.37;1;5.7;0.05;0.55;;;;;;;;1;5504.08;
2024_10_04-B13.17.2.bmp;2;0.3;;;;0.44;;;;;;;;;;
2024_11_15-N1.21.2.bmp;;;1;10.38;0.08;;;;;;;;;1;5578.06;
2024_10_03-19.33.2.bmp;1;0.17;;;;0.17;;;;;;;;1;4403.43;
2024_11_15-I18.38.1.bmp;;;;;;;;;;;;;;;;
2024_10_03-19.2.2.bmp;2;0.26;;;;0.31;;;;;;;;;;
2024_10_04-13.25.1.bmp;3;0.51;;;;0.63;1;0;0;;;;;1;240.92;12.7
2024_10_03-5.23.1.bmp;3;0.07;;;;0.19;1;1;0;1;11.08;;;1;2916.5;54.09
2024_10_04-U1.10.1.bmp;4;0.18;;;;0.46;;;;;;;0;;;
2024_10_03-19.21.2.bmp;1;0.12;3;13.42;0.1;0.36;;;;1;464.9;;;;;
2024_10_03-9.29.2.bmp;;;1;10.78;0.1;;;;;;;;;;;
2024_10_03-9.23.2.bmp;3;0.3;1;13.92;0.12;0.76;;;;;;;;;;
2024_11_15-I23.35.1.bmp;;;1;6.04;0.05;;;;;1;23.11;;0;;;
2024_08_27-S13.9.1.bmp;;;;;;;;;;;;;0;;;
2024_10_04-B1.37.1.bmp;2;0.2;1;6.6;0.05;0.35;;;;;;;0;;;
2024_10_03-8.29.1.bmp;1;0.18;;;;;;;;;;;0.01;;;
2024_10_03-17.36.2.bmp;1;0.36;;;;;;;;;;;;;;
2024_10_04-B5.27.2.bmp;;;;;;;3;3;0;;;1;0.19;;;
2024_10_03-18.20.1.bmp;1;0.31;1;11.8;0.1;0.42;;;;;;;0;;;
2024_11_15-I21.20.2.bmp;;;;;;;;;;;;;;1;214.38;
2024_08_29-I14.16.1.bmp;1;0.14;;;;0.14;;;;;;;;;;
2024_08_27-I9.7.2.bmp;6;0.28;1;7.39;0.06;1.13;;;;1;72.12;;;;;
2024_08_29-A1.18.1.bmp;4;0.24;;;;0.61;1;1;0;;;;;1;61396.65;
2024_11_15-I21.19.1.bmp;;;1;6.01;0.05;;;;;;;;;;;
2024_11_15-I20.8.2.bmp;;;;;;;;;;;;;0;;;
2024_10_04-12.29.2.bmp;;;;;;;;;;;;;;;;
2024_10_04-B3.24.1.bmp;1;0.31;;;;;1;1;0;;;;0.43;;;
2024_08_29-A3.2.1.bmp;2;0.18;2;11.91;0.08;0.41;1;1;0;1;74.62;;;;;31.78
2024_10_04-12.30.1.bmp;1;0.36;;;;0.36;;;;;;;0;1;532.61;
2024_10_03-18.25.1.bmp;4;0.14;;;;0.37;;;;;;;0;;;
2024_10_04-B4.13.1.bmp;;;1;6.52;0.05;;;;;1;10.78;;0.45;;;
2024_08_29-I13.12.1.bmp;2;0.12;;;;0.23;;;;1;18.38;;;;;
2024_10_03-14.16.2.bmp;1;0.3;1;6.93;0.06;0.36;;;;;;;;;;
2024_10_04-F2.13.2.bmp;;;;;;;1;1;0;;;;0.52;;;
2024_08_27-S11.9.2.bmp;;;;;;;;;;;;;;;;
2024_10_04-F2.5.1.bmp;4;0.2;;;;0.63;1;1;0;1;48.83;;;1;133.62;
2024_08_27-I7.1.1.bmp;5;0.21;;;;0.67;;;;;;;0;;;
2024_11_15-N3.3.1.bmp;1;0.06;;;;;;;;1;93.32;;;1;438.45;
2024_08_29-I11.1.2.bmp;1;0.27;;;;0.27;;;;;;;;1;54.55;
2024_10_04-B9.31.2.bmp;;;2;10.71;0.08;0.16;;;;;;;;;;
2024_10_03-2.2.1.bmp;1;0.29;;;;;1;0;0;1;32.41;;0.01;;;
2024_10_03-19.21.1.bmp;;;4;17.52;0.14;0.38;;;;1;22.66;;0;;;
2024_10_04-B5.1.1.bmp;;;2;11.6;0.09;0.18;;;;1;84.03;;0.4;1;2471.31;
2024_11_15-I17.1.2.bmp;;;;;;;1;0;0;;;;;;;
2024_08_27-S3.6.1.bmp;;;;;;;2;1;0;;;;;1;6147.28;
