"sample_name","Quality","Quality_Factor","Density","MOE","MOR","PrePD","PostPD","max_knot","knot_decisive"
"I18.12",2,"2",473.328,10.82884935,91.29931865,13.53999329,0,8,1
"I18.13",1,"1",474.05,11.711934,90.64777719,13.2000227,0.559968948,7,NA
"I18.14",1,"1",478.89,12.09437395,89.04169416,16.35999584,4.959976196,0,NA
"I18.15",1,"1",480.51,12.25993986,90.1463675,12.46000624,10.44423485,5,NA
"I18.16",2,"2",410.525,8.779694075,66.77099297,10.50001478,1.61999321,12,1
"I18.17",1,"1",426.714,11.08719689,78.09407163,10.00002289,5.019762039,0,NA
"I18.18",1,"1",442.964,10.37956465,77.40404421,8.740017891,11.45055771,6,NA
"I18.19",1,"1",451.33,10.96978986,80.52834146,10.77998972,6.740028381,25,1
"I18.2",1,"1",431.227,5.558314882,47.23360231,4.020003319,0,0,NA
"I18.20",1,"1",430.383,9.579907009,76.88476062,14.74003077,0.999994278,0,1
"I18.21",1,"1",425.405,9.173642682,72.92280377,15.26002741,6.439968109,0,1
"I18.22",1,"1",398.109,8.467194287,70.04444632,13.1199913,0,0,NA
"I18.23",1,"1",414.178,8.9630959,77.5715601,17.10001945,3.259990692,0,NA
"I18.24",2,"2",405.091,7.807315771,51.09242027,1.540007114,5.464831352,0,1
"I18.25",1,"1",406.126,8.697649755,68.27873551,9.199985027,0,0,NA
"I18.26",1,"1",410.206,5.950955596,55.89814488,7.80001545,0,0,NA
"I18.27",1,"1",411.328,9.222625471,68.0405469,10.46000719,5.939994812,15,NA
"I18.28",2,"2",405.351,8.968454094,61.27514858,8.140005589,2.059988022,0,1
"I18.29",1,"1",395.771,9.526611066,70.64699814,13.76000214,2.760019302,6,NA
"I18.3",1,"1",444.675,8.980140988,72.52679762,6.359996796,0,0,NA
"I18.31",2,"2",406.431,7.383776749,45.39187743,6.48001194,1.239995003,12,1
"I18.32",1,"1",503.782,10.76431541,90.6461938,11.87997913,7.688009262,0,NA
"I18.33",1,"1",496.889,10.3640149,77.18807077,5.219993591,7.913360596,8,NA
"I18.34",1,"1",501.429,9.02418166,76.33462399,8.759994507,0,0,1
"I18.35",1,"1",509.435,9.32757131,81.02904994,8.859987259,0,0,NA
"I18.36",1,"1",508.576,8.918940126,75.55021371,8.660021782,0.02000618,8,NA
"I18.37",1,"1",506.234,9.458860649,79.35566523,6.560004234,0,0,NA
"I18.38",1,"1",439.017,11.11076577,82.72738145,13.45999861,11.29999542,0,NA
"I18.39",1,"1",418.787,10.23485811,70.80174387,6.559993744,11.85973644,0,NA
"I18.4",1,"1",454.259,9.363420644,70.73409425,6.859980106,0.020023346,19,1
"I18.40",1,"1",438.566,10.01577855,80.09682897,14.07999802,8.079994202,0,NA
"I18.5",1,"1",411.044,6.901451954,65.62896014,9.479986191,0,0,NA
"I18.6",1,"1",409.461,8.143735625,70.26619918,11.31997728,0,0,NA
"I18.7",1,"1",418.45,7.779821111,72.21689849,11.00000477,0,6,NA
"I18.8",1,"1",408.875,7.492764256,70.03594785,13.00002289,0,0,NA
"I18.9",1,"1",399.674,8.079112586,67.91198848,11.45999622,0,0,NA
"I19.1",1,"1",407.835,8.824009669,68.96605581,11.17997885,1.080028534,0,NA
"I19.10",3,"3",440.162,8.090924823,72.72693784,12.50000143,0,5,NA
"I19.11",3,"3",432.641,7.87220797,65.3011318,9.199989796,0.379999161,6,NA
"I19.12",1,"1",395.203,8.896344637,66.83551144,10.01998091,5.84617424,5,NA
"I19.13",1,"1",504.298,11.49283828,87.90426032,10.82002068,5.093364716,0,NA
"I19.14",1,"1",497.447,11.13478963,89.38102476,14.71999931,3.523992538,0,NA
"I19.15",1,"1",486.549,10.56885479,81.44257057,8.219996929,5.001509666,0,NA
"I19.16",1,"1",493.842,10.66665712,85.97717533,12.40001297,4.179998398,0,NA
"I19.17",1,"1",449.374,9.896572521,79.95500371,13.11998892,3.558586121,0,NA
"I19.18",3,"3",508.578,10.03004056,72.14137121,4.300006866,3.783026695,31,1
"I19.19",1,"1",516.265,11.05478006,82.74321065,5.099998474,4.096628189,0,NA
"I19.2",1,"1",457.778,10.71137663,80.08807008,13.73998499,4.518159866,0,NA
"I19.20",1,"1",436.126,8.610591248,61.40085905,4.499984741,0,6,NA
"I19.21",2,"2",514.065,11.55502847,83.88244287,7.919997692,5.68937397,10,NA
"I19.22",1,"1",509.681,12.14309737,89.43477229,13.34657478,9.233982086,0,NA
"I19.23",1,"1",465.065,11.16261469,79.42823644,12.3999877,12.41916084,0,NA
"I19.24",1,"1",475.433,10.38179305,78.48796544,12.79999542,15.29976463,0,NA
"I19.25",1,"1",457.695,10.96189305,80.7572048,18.22001457,7.95999527,0,NA
"I19.26",3,"3",478.51,11.43613112,81.3345915,15.15997887,13.57496643,0,NA
"I19.27",1,"1",473.943,10.91779798,82.57029742,14.57999659,12.12176323,0,NA
"I19.28",1,"1",483.929,10.62170926,83.34737937,11.68000126,14.69257355,0,NA
"I19.29",1,"1",486.437,9.64182183,89.54886074,14.57999611,0.059988022,0,NA
"I19.3",1,"1",449.935,10.36701607,76.72045323,14.12001514,5.599992752,0,NA
"I19.30",1,"1",488.213,11.61320468,88.58842567,14.22000694,6.685997009,6,NA
"I19.31",1,"1",490.758,11.69757179,80.03629406,10.54055166,3.436016083,0,NA
"I19.32",1,"1",475.731,10.51374247,80.53841509,9.760007381,4.821832657,6,NA
"I19.33",1,"1",478.53,10.77807353,78.1849702,7.619995117,3.396165848,8,NA
