"sample_name","Density","MOE","MOR","PrePD","PostPD","Quality","quality_experts"
"N1.1.1",418.241,10.48466079,76.06181552,13.2999835,5.196084976,"1","1"
"N1.1.2",418.241,10.48466079,76.06181552,13.2999835,5.196084976,"1","1"
"N1.12.1",432.615,7.086442008,66.44689539,11.21999645,0,"1","2"
"N1.18.2",415.643,9.01761931,75.2657928,13.14000511,0,"3","1"
"N2.19.1",445.981,8.05374623,80.24549014,12.85998726,0,"1","2"
"N2.2.2",418.041,9.313617908,69.37071153,11.01999998,2.200027466,"2","1"
"N2.32.2",407.03,8.693108459,65.04378713,8.519999981,0,"1","2"
"N2.4.2",437.45,9.47162639,74.44692356,15.39999914,3.780023575,"1","1"
"N3.16.1",411.757,9.307045834,77.04100386,14.93997908,0,"1","1"
"N3.21.1",496.059,11.77772261,87.58052086,11.32000542,6.158840179,"1","1"
"N3.24.1",413.504,10.16015257,64.66373196,5.22000742,7.139990807,"1","1"
"N4.33.2",416.145,8.868539718,53.44845159,3.359984398,4.449756622,"2","2"
"N4.8.1",421.923,9.397327043,68.92770779,8.919989586,2.962686539,"1","1"
"S1.1.1",386.324,8.624227169,62.99720925,12.14058924,0.040010452,"2","1"
"S11.8.2",379.471,8.684300797,60.05737074,8.56099081,4.15217495,"2","1"
"S12.13.1",440.79,8.923347963,62.40142736,7.739983082,2.294963837,"3","2"
"S13.10.1",540.666,7.290672425,65.02518722,2.979996681,0.040061951,"3","2"
"S13.17.1",396.63,7.636203963,49.66468894,3.060628414,0,"3","2"
"S2.15.2",448.927,9.203789554,56.9338172,1.759990215,0.040011406,"3","2"
"S3.1.1",410.717,8.054887313,58.8962852,8.499984741,0.120191574,"1","2"
"S3.5.1",441.084,9.147171602,64.37402959,7.309380531,5.719981194,"1","1"
"S4.6.1",396.933,8.207094134,62.05586336,8.960008144,1.959997177,"1","2"
"S5.7.1",390.565,9.306376623,66.58331852,12.78001595,0.739994049,"1","1"
"S6.4.2",436.252,9.417421613,60.88151012,5.019995689,2.319983482,"2","2"
"S7.7.2",365.183,6.548884987,50.9605188,7.020590782,0,"1","2"
"S8.3.2",462.825,7.644649416,50.32083593,3.139991283,2.46001339,"3","2"
"S8.8.1",373.851,8.345139233,60.94030888,7.321017265,0.059998512,"1","1"
"U1.4.2",419.313,8.330269906,53.34305204,2.640004158,2.801362991,"3","1"
"U2.9.1",366.653,6.263365447,40.60941932,3.179993629,0.021029472,"1","1"
"U3.12.1",400.212,8.015795548,57.15682704,8.741019726,0.020040512,"1","2"
"U3.4.2",460.657,5.63068673,40.49222057,2.020624161,0,"3","2"
"U3.9.2",383.608,7.465969648,44.75897564,1.01999712,11.52002144,"2","1"
"U4.4.1",390.106,8.312850089,50.67333206,2.841822147,2.923360825,"2","1"
"U4.5.2",446.935,10.42603227,78.08857415,9.40020752,2.960054398,"1","1"
"U4.9.2",443.56,10.4641513,73.74352567,16.02181864,3.660009384,"2","1"
